날짜,종가,오픈,고가,저가,변동 %
2020년 02월 12일,"1,178.51","1,182.29","1,184.21","1,176.06",-0.23%
2020년 02월 13일,"1,183.58","1,179.51","1,185.02","1,178.24",0.43%
2020년 02월 14일,"1,182.46","1,184.59","1,185.85","1,180.48",-0.09%
2020년 02월 17일,"1,185.25","1,183.44","1,185.88","1,179.19",0.24%
2020년 02월 18일,"1,190.95","1,185.38","1,192.48","1,184.28",0.48%
2020년 02월 19일,"1,192.50","1,191.05","1,193.90","1,187.50",0.13%
2020년 02월 20일,"1,204.71","1,193.00","1,208.99","1,191.42",1.02%
2020년 02월 21일,"1,206.91","1,205.21","1,215.27","1,202.94",0.18%
2020년 02월 24일,"1,219.08","1,206.97","1,222.96","1,206.97",1.01%
2020년 02월 25일,"1,215.54","1,219.17","1,220.33","1,208.84",-0.29%
2020년 02월 26일,"1,212.31","1,216.04","1,220.63","1,211.83",-0.27%
2020년 02월 27일,"1,212.63","1,212.81","1,218.82","1,206.76",0.03%
2020년 02월 28일,"1,200.20","1,212.68","1,218.56","1,199.59",-1.03%
2020년 03월 02일,"1,189.61","1,200.21","1,207.63","1,188.56",-0.88%
2020년 03월 03일,"1,180.50","1,189.71","1,196.21","1,178.81",-0.77%
2020년 03월 04일,"1,184.73","1,181.00","1,188.98","1,181.00",0.36%
2020년 03월 05일,"1,188.72","1,185.23","1,193.08","1,179.84",0.34%
2020년 03월 06일,"1,188.70","1,188.82","1,194.72","1,184.96",0.00%
2020년 03월 09일,"1,200.88","1,188.70","1,206.60","1,188.60",1.02%
2020년 03월 10일,"1,185.60","1,200.94","1,202.30","1,185.03",-1.27%
2020년 03월 11일,"1,192.57","1,185.75","1,197.95","1,184.43",0.59%
2020년 03월 12일,"1,210.71","1,192.71","1,214.17","1,191.15",1.52%
2020년 03월 13일,"1,211.28","1,211.21","1,226.77","1,205.48",0.05%
2020년 03월 16일,"1,232.37","1,211.70","1,233.72","1,209.31",1.74%
2020년 03월 17일,"1,239.72","1,232.87","1,247.21","1,232.45",0.60%
2020년 03월 18일,"1,256.46","1,239.76","1,269.15","1,231.60",1.35%
2020년 03월 19일,"1,257.86","1,256.50","1,292.93","1,247.45",0.11%
2020년 03월 20일,"1,254.45","1,258.36","1,264.60","1,237.22",-0.27%
2020년 03월 23일,"1,272.50","1,254.85","1,283.05","1,254.40",1.44%
2020년 03월 24일,"1,233.21","1,273.00","1,273.04","1,232.90",-3.09%
2020년 03월 25일,"1,232.00","1,234.21","1,239.08","1,226.07",-0.10%
2020년 03월 26일,"1,212.90","1,233.00","1,235.43","1,212.48",-1.55%
2020년 03월 27일,"1,212.23","1,213.40","1,227.29","1,205.31",-0.06%
2020년 03월 30일,"1,224.21","1,212.73","1,227.21","1,212.18",0.99%
2020년 03월 31일,"1,218.30","1,224.71","1,225.21","1,214.28",-0.48%
2020년 04월 01일,"1,236.20","1,218.80","1,239.27","1,216.80",1.47%
2020년 04월 02일,"1,227.35","1,236.70","1,243.29","1,225.56",-0.72%
2020년 04월 03일,"1,235.61","1,227.85","1,240.65","1,224.18",0.67%
2020년 04월 06일,"1,224.60","1,236.42","1,239.51","1,223.58",-0.89%
2020년 04월 07일,"1,214.93","1,224.64","1,225.56","1,208.79",-0.79%
2020년 04월 08일,"1,215.76","1,215.43","1,223.19","1,214.09",0.07%
2020년 04월 09일,"1,210.58","1,216.26","1,222.36","1,208.67",-0.43%
2020년 04월 10일,"1,211.05","1,211.11","1,216.10","1,206.64",0.04%
2020년 04월 13일,"1,215.46","1,212.04","1,221.70","1,211.59",0.36%
2020년 04월 14일,"1,212.46","1,215.97","1,219.45","1,211.31",-0.25%
2020년 04월 15일,"1,224.68","1,212.50","1,225.77","1,209.61",1.01%
2020년 04월 16일,"1,228.94","1,224.72","1,230.53","1,222.94",0.35%
2020년 04월 17일,"1,216.13","1,228.98","1,229.45","1,213.95",-1.04%
2020년 04월 20일,"1,220.58","1,216.26","1,222.63","1,214.71",0.37%
2020년 04월 21일,"1,232.56","1,220.62","1,241.82","1,220.12",0.98%
2020년 04월 22일,"1,233.55","1,233.53","1,237.91","1,229.92",0.08%
2020년 04월 23일,"1,233.04","1,234.05","1,237.23","1,227.72",-0.04%
2020년 04월 24일,"1,230.53","1,233.54","1,238.24","1,229.93",-0.20%
2020년 04월 27일,"1,222.05","1,230.50","1,235.10","1,220.81",-0.69%
2020년 04월 28일,"1,221.31","1,222.64","1,227.95","1,216.86",-0.06%
2020년 04월 29일,"1,210.99","1,221.81","1,223.45","1,210.42",-0.84%
2020년 04월 30일,"1,212.94","1,211.10","1,215.69","1,203.52",0.16%
2020년 05월 01일,"1,224.89","1,213.94","1,225.87","1,213.10",0.99%
2020년 05월 04일,"1,224.14","1,224.80","1,230.53","1,223.36",-0.06%
2020년 05월 05일,"1,222.47","1,224.18","1,224.82","1,218.20",-0.14%
2020년 05월 06일,"1,228.55","1,222.57","1,230.03","1,220.57",0.50%
2020년 05월 07일,"1,219.61","1,229.60","1,230.06","1,217.08",-0.73%
2020년 05월 08일,"1,219.65","1,220.11","1,221.82","1,214.51",0.00%
2020년 05월 11일,"1,222.91","1,219.70","1,226.18","1,214.18",0.27%
2020년 05월 12일,"1,226.64","1,223.41","1,228.95","1,220.19",0.31%
2020년 05월 13일,"1,227.37","1,226.84","1,229.40","1,222.17",0.06%
2020년 05월 14일,"1,227.03","1,227.51","1,234.03","1,226.12",-0.03%
2020년 05월 15일,"1,232.69","1,227.53","1,235.58","1,226.30",0.46%
2020년 05월 18일,"1,225.13","1,233.09","1,235.04","1,224.44",-0.61%
2020년 05월 19일,"1,225.04","1,225.27","1,227.55","1,221.06",-0.01%
2020년 05월 20일,"1,227.26","1,225.18","1,232.70","1,224.17",0.18%
2020년 05월 21일,"1,233.19","1,227.40","1,234.52","1,226.44",0.48%
2020년 05월 22일,"1,240.59","1,233.27","1,244.51","1,232.81",0.60%
2020년 05월 25일,"1,240.45","1,240.56","1,244.89","1,237.61",-0.01%
2020년 05월 26일,"1,230.90","1,240.95","1,242.70","1,230.11",-0.77%
2020년 05월 27일,"1,238.19","1,230.99","1,239.51","1,230.43",0.59%
2020년 05월 28일,"1,237.97","1,238.26","1,242.59","1,233.71",-0.02%
2020년 05월 29일,"1,231.49","1,238.03","1,240.70","1,230.18",-0.52%
2020년 06월 01일,"1,222.92","1,231.47","1,232.19","1,221.74",-0.70%
2020년 06월 02일,"1,219.62","1,223.05","1,227.33","1,216.33",-0.27%
2020년 06월 03일,"1,215.79","1,220.12","1,220.67","1,214.12",-0.31%
2020년 06월 04일,"1,216.39","1,215.95","1,220.20","1,212.94",0.05%
2020년 06월 05일,"1,202.02","1,216.54","1,218.76","1,200.35",-1.18%
2020년 06월 08일,"1,195.35","1,201.85","1,205.88","1,193.92",-0.55%
2020년 06월 09일,"1,198.40","1,195.90","1,202.93","1,194.99",0.26%
2020년 06월 10일,"1,190.67","1,198.52","1,200.79","1,184.24",-0.65%
2020년 06월 11일,"1,206.10","1,190.79","1,208.40","1,188.11",1.30%
2020년 06월 12일,"1,203.66","1,206.20","1,210.48","1,200.61",-0.20%
2020년 06월 15일,"1,208.55","1,203.61","1,217.13","1,203.16",0.41%
2020년 06월 16일,"1,211.79","1,208.65","1,215.22","1,204.09",0.27%
2020년 06월 17일,"1,215.41","1,212.29","1,219.26","1,210.35",0.30%
2020년 06월 18일,"1,212.50","1,215.53","1,218.09","1,207.76",-0.24%
2020년 06월 19일,"1,211.83","1,212.60","1,214.16","1,205.62",-0.06%
2020년 06월 22일,"1,209.41","1,211.89","1,216.35","1,208.77",-0.20%
2020년 06월 23일,"1,207.46","1,209.53","1,216.40","1,205.47",-0.16%
2020년 06월 24일,"1,206.08","1,208.45","1,208.87","1,198.71",-0.11%
2020년 06월 25일,"1,202.21","1,206.20","1,209.08","1,200.91",-0.32%
2020년 06월 26일,"1,203.80","1,202.36","1,204.83","1,197.00",0.13%
2020년 06월 29일,"1,199.16","1,203.63","1,205.96","1,197.46",-0.39%
2020년 06월 30일,"1,199.28","1,199.66","1,204.68","1,195.09",0.01%
2020년 07월 01일,"1,201.51","1,199.44","1,205.05","1,197.92",0.19%
2020년 07월 02일,"1,198.75","1,201.67","1,204.15","1,196.68",-0.23%
2020년 07월 03일,"1,198.93","1,199.25","1,202.47","1,197.77",0.02%
2020년 07월 06일,"1,191.92","1,199.66","1,200.10","1,191.11",-0.58%
2020년 07월 07일,"1,196.75","1,192.04","1,197.78","1,189.23",0.41%
2020년 07월 08일,"1,192.05","1,196.84","1,199.53","1,192.08",-0.39%
2020년 07월 09일,"1,196.98","1,192.68","1,199.13","1,191.04",0.41%
2020년 07월 10일,"1,200.42","1,197.06","1,206.03","1,196.18",0.29%
2020년 07월 13일,"1,203.37","1,200.52","1,204.48","1,198.69",0.25%
2020년 07월 14일,"1,204.89","1,203.87","1,208.74","1,203.07",0.13%
2020년 07월 15일,"1,200.50","1,205.01","1,205.49","1,198.81",-0.36%
2020년 07월 16일,"1,205.11","1,201.00","1,207.60","1,200.08",0.38%
2020년 07월 17일,"1,203.44","1,205.23","1,207.35","1,202.92",-0.14%
2020년 07월 20일,"1,200.90","1,203.53","1,206.93","1,200.46",-0.21%
2020년 07월 21일,"1,193.92","1,201.02","1,202.02","1,192.34",-0.58%
2020년 07월 22일,"1,197.22","1,194.03","1,199.91","1,192.29",0.28%
2020년 07월 23일,"1,201.45","1,197.38","1,203.85","1,195.58",0.35%
2020년 07월 24일,"1,201.50","1,201.95","1,204.59","1,198.71",0.00%
2020년 07월 27일,"1,195.57","1,201.49","1,202.32","1,194.12",-0.49%
2020년 07월 28일,"1,199.46","1,196.07","1,202.16","1,190.10",0.33%
2020년 07월 29일,"1,189.79","1,199.54","1,200.05","1,189.76",-0.81%
2020년 07월 30일,"1,189.62","1,190.04","1,198.22","1,187.59",-0.01%
2020년 07월 31일,"1,193.59","1,189.73","1,196.11","1,186.27",0.33%
2020년 08월 03일,"1,192.59","1,194.10","1,196.79","1,191.31",-0.08%
2020년 08월 04일,"1,193.20","1,192.70","1,197.12","1,191.18",0.05%
2020년 08월 05일,"1,186.05","1,193.32","1,193.81","1,183.31",-0.60%
2020년 08월 06일,"1,183.50","1,186.24","1,187.47","1,182.51",-0.22%
2020년 08월 07일,"1,188.68","1,184.00","1,191.28","1,183.07",0.44%
2020년 08월 10일,"1,185.58","1,189.19","1,189.64","1,183.90",-0.26%
2020년 08월 11일,"1,185.62","1,186.08","1,187.97","1,181.69",0.00%
2020년 08월 12일,"1,183.23","1,186.12","1,187.77","1,182.33",-0.20%
2020년 08월 13일,"1,184.92","1,183.74","1,186.32","1,181.24",0.14%
2020년 08월 14일,"1,186.94","1,185.15","1,188.06","1,183.92",0.17%
2020년 08월 17일,"1,183.19","1,185.90","1,187.27","1,183.63",-0.32%
2020년 08월 18일,"1,182.70","1,184.14","1,186.70","1,182.89",-0.04%
2020년 08월 19일,"1,181.74","1,183.79","1,184.57","1,176.04",-0.08%
2020년 08월 20일,"1,185.24","1,182.24","1,190.91","1,181.53",0.30%
2020년 08월 21일,"1,191.72","1,185.36","1,193.51","1,183.10",0.55%
2020년 08월 24일,"1,188.66","1,192.12","1,193.03","1,186.47",-0.26%
2020년 08월 25일,"1,187.35","1,189.04","1,190.22","1,184.70",-0.11%
2020년 08월 26일,"1,184.39","1,187.48","1,188.94","1,184.16",-0.25%
2020년 08월 27일,"1,187.44","1,184.79","1,188.51","1,182.82",0.26%
2020년 08월 28일,"1,180.48","1,187.56","1,188.29","1,180.03",-0.59%
2020년 08월 31일,"1,187.94","1,180.51","1,188.87","1,178.91",0.63%
2020년 09월 01일,"1,185.45","1,188.07","1,188.69","1,181.68",-0.21%
2020년 09월 02일,"1,189.13","1,185.58","1,191.71","1,184.18",0.31%
2020년 09월 03일,"1,191.48","1,189.63","1,192.56","1,185.47",0.20%
2020년 09월 04일,"1,187.30","1,191.73","1,193.21","1,186.94",-0.35%
2020년 09월 07일,"1,187.27","1,187.33","1,189.67","1,185.85",0.00%
2020년 09월 08일,"1,190.10","1,187.77","1,190.87","1,185.80",0.24%
2020년 09월 09일,"1,184.79","1,190.23","1,191.79","1,184.05",-0.45%
2020년 09월 10일,"1,188.11","1,184.92","1,188.73","1,183.88",0.28%
2020년 09월 11일,"1,187.89","1,188.21","1,190.27","1,185.60",-0.02%
2020년 09월 14일,"1,181.51","1,187.99","1,188.86","1,180.21",-0.54%
2020년 09월 15일,"1,179.76","1,181.89","1,183.53","1,176.74",-0.15%
2020년 09월 16일,"1,172.88","1,180.26","1,181.93","1,169.90",-0.58%
2020년 09월 17일,"1,169.20","1,172.97","1,178.18","1,168.43",-0.31%
2020년 09월 18일,"1,164.81","1,169.70","1,170.78","1,159.40",-0.38%
2020년 09월 21일,"1,163.61","1,165.00","1,168.31","1,156.46",-0.10%
2020년 09월 22일,"1,163.61","1,164.84","1,166.03","1,158.93",0.00%
2020년 09월 23일,"1,170.65","1,163.65","1,172.46","1,160.69",0.61%
2020년 09월 24일,"1,169.10","1,170.78","1,176.31","1,167.08",-0.13%
2020년 09월 25일,"1,174.32","1,169.60","1,178.03","1,168.35",0.45%
2020년 09월 28일,"1,166.85","1,174.44","1,175.23","1,166.81",-0.64%
2020년 09월 29일,"1,168.73","1,167.35","1,171.60","1,166.38",0.16%
2020년 09월 30일,"1,164.65","1,168.82","1,171.58","1,163.73",-0.35%
2020년 10월 01일,"1,162.83","1,164.75","1,165.84","1,160.70",-0.16%
2020년 10월 02일,"1,166.26","1,162.93","1,168.28","1,162.18",0.29%
2020년 10월 05일,"1,157.12","1,166.35","1,167.33","1,156.59",-0.78%
2020년 10월 06일,"1,164.37","1,157.29","1,166.07","1,156.42",0.63%
2020년 10월 07일,"1,157.26","1,164.87","1,166.56","1,156.14",-0.61%
2020년 10월 08일,"1,151.11","1,157.38","1,159.31","1,150.43",-0.53%
2020년 10월 09일,"1,143.52","1,151.22","1,151.87","1,141.86",-0.66%
2020년 10월 12일,"1,147.79","1,143.65","1,152.14","1,143.11",0.37%
2020년 10월 13일,"1,148.30","1,148.29","1,151.93","1,144.46",0.04%
2020년 10월 14일,"1,147.14","1,148.80","1,150.00","1,142.28",-0.10%
2020년 10월 15일,"1,145.14","1,147.20","1,149.46","1,141.53",-0.17%
2020년 10월 16일,"1,142.13","1,145.23","1,148.14","1,140.73",-0.26%
2020년 10월 19일,"1,140.06","1,142.21","1,143.96","1,137.26",-0.18%
2020년 10월 20일,"1,138.39","1,140.63","1,141.88","1,137.25",-0.15%
2020년 10월 21일,"1,132.54","1,138.77","1,140.10","1,130.61",-0.51%
2020년 10월 22일,"1,134.74","1,133.07","1,137.55","1,131.96",0.19%
2020년 10월 23일,"1,127.95","1,135.14","1,136.94","1,126.23",-0.60%
2020년 10월 26일,"1,132.44","1,128.45","1,134.16","1,127.06",0.40%
2020년 10월 27일,"1,129.21","1,132.51","1,133.43","1,124.69",-0.29%
2020년 10월 28일,"1,134.93","1,129.28","1,138.97","1,126.57",0.51%
2020년 10월 29일,"1,130.06","1,135.14","1,136.08","1,130.19",-0.43%
2020년 10월 30일,"1,136.49","1,130.56","1,139.16","1,126.23",0.57%
2020년 11월 02일,"1,132.95","1,136.60","1,137.60","1,132.59",-0.31%
2020년 11월 03일,"1,131.32","1,133.10","1,137.16","1,129.79",-0.14%
2020년 11월 04일,"1,127.65","1,131.39","1,147.82","1,125.47",-0.32%
2020년 11월 05일,"1,122.88","1,129.66","1,134.41","1,121.60",-0.42%
2020년 11월 06일,"1,121.40","1,123.38","1,127.18","1,118.45",-0.13%
2020년 11월 09일,"1,119.06","1,121.91","1,122.35","1,110.42",-0.21%
2020년 11월 10일,"1,117.07","1,119.45","1,120.29","1,113.60",-0.18%
2020년 11월 11일,"1,112.39","1,117.20","1,118.13","1,108.93",-0.42%
2020년 11월 12일,"1,114.86","1,112.49","1,116.31","1,110.46",0.22%
2020년 11월 13일,"1,107.62","1,115.03","1,117.12","1,107.03",-0.65%
2020년 11월 16일,"1,107.04","1,108.25","1,110.56","1,105.09",-0.05%
2020년 11월 17일,"1,105.38","1,107.16","1,108.39","1,103.98",-0.15%
2020년 11월 18일,"1,106.17","1,105.79","1,107.84","1,101.61",0.07%
2020년 11월 19일,"1,113.59","1,106.67","1,119.09","1,106.08",0.67%
2020년 11월 20일,"1,114.95","1,114.09","1,117.87","1,112.31",0.12%
2020년 11월 23일,"1,113.51","1,115.08","1,116.82","1,109.91",-0.13%
2020년 11월 24일,"1,110.24","1,114.01","1,114.68","1,108.08",-0.29%
2020년 11월 25일,"1,106.21","1,110.64","1,111.51","1,104.69",-0.36%
2020년 11월 26일,"1,105.57","1,106.33","1,108.77","1,103.13",-0.06%
2020년 11월 27일,"1,104.43","1,106.07","1,107.47","1,102.43",-0.10%
2020년 11월 30일,"1,109.32","1,105.02","1,110.34","1,103.20",0.44%
2020년 12월 01일,"1,105.73","1,109.82","1,110.35","1,105.20",-0.32%
2020년 12월 02일,"1,100.02","1,106.23","1,107.01","1,099.22",-0.52%
2020년 12월 03일,"1,092.08","1,100.16","1,101.91","1,089.70",-0.72%
2020년 12월 04일,"1,083.77","1,092.20","1,093.71","1,080.57",-0.76%
2020년 12월 07일,"1,083.53","1,083.87","1,088.35","1,080.39",-0.02%
2020년 12월 08일,"1,084.86","1,084.53","1,087.79","1,082.49",0.12%
2020년 12월 09일,"1,086.48","1,085.79","1,088.97","1,080.82",0.15%
2020년 12월 10일,"1,085.55","1,087.38","1,091.93","1,084.12",-0.09%
2020년 12월 11일,"1,091.67","1,087.34","1,094.56","1,085.27",0.56%
2020년 12월 14일,"1,093.07","1,091.80","1,094.91","1,088.85",0.13%
2020년 12월 15일,"1,089.43","1,093.32","1,096.14","1,088.49",-0.33%
2020년 12월 16일,"1,092.36","1,089.56","1,096.55","1,088.05",0.27%
2020년 12월 17일,"1,093.01","1,094.12","1,095.43","1,090.27",0.06%
2020년 12월 18일,"1,099.39","1,094.01","1,100.78","1,092.34",0.58%
2020년 12월 21일,"1,102.55","1,099.48","1,112.74","1,097.94",0.29%
2020년 12월 22일,"1,109.72","1,104.31","1,111.05","1,102.46",0.65%
2020년 12월 23일,"1,106.65","1,109.94","1,111.05","1,104.68",-0.28%
2020년 12월 24일,"1,101.59","1,106.87","1,107.47","1,100.48",-0.46%
2020년 12월 25일,"1,099.07","1,102.66","1,102.81","1,100.03",-0.23%
2020년 12월 28일,"1,095.60","1,100.08","1,103.55","1,093.51",-0.32%
2020년 12월 29일,"1,090.97","1,097.30","1,098.57","1,090.63",-0.42%
2020년 12월 30일,"1,087.62","1,091.97","1,093.92","1,084.52",-0.31%
2020년 12월 31일,"1,084.47","1,088.43","1,090.35","1,082.97",-0.29%
2021년 01월 01일,"1,084.73","1,085.69","1,086.10","1,085.25",0.02%
2021년 01월 04일,"1,086.48","1,085.73","1,088.30","1,080.02",0.16%
