일자,종목명,기사요약,근거,대표단어,label,종가,거래량,등락률,KOSPI200,KOSPI200_등락률,환율,환율변동률,유가,유가변동률,S&P500,S&P500_등락률
2020.01.06,SK이노베이션,SK이노베이션은 헝가리·중국 창저우공장이 본격 가동돼 2021년 20GWh(기가와트시)로 규모의 경제가 확보되면 흑자를 낼 수 있을 것으로 본다.,실적 호재,"본격 가동, 흑자",1,148000,317436,-1.00%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,SK이노베이션,중국 기업의 지난해 배터리 관련 투자액이 한국의 7배에 달한 것으로 추정됐다.,경쟁사 호재,"중국 기업, 배터리 관련 투자액, 한국의 7배",0,148000,317436,-1.00%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,SK이노베이션,"SK이노베이션은 배터리 사업부가 지난해 1분기 869억원 적자, 2분기 671억원 적자, 3분기 427억원 적자에 이어 4분기에 헝가리·중국공장 신규가동을 앞두고 적자 폭이 보다 확대된 것으로 보인다.",실적 부진,"적자, 확대, 신규가동",0,148000,317436,-1.00%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,SK이노베이션,중국 기업은 작년 한국에서 7 번이었습니다.,경쟁사 호재,"중국 기업, 배터리 관련 투자액, 한국의 7배",0,148000,317436,-1.00%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,SK이노베이션,"SK 혁신은 200 분기의 적자를 확대 할 것으로 예상되며, 작년 1/4 분기에 671 억원, 2 분기 671 억원, 3 분기 427 억원,",실적 부진,"적자, 확대, 신규가동",0,148000,317436,-1.00%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,삼성sdi,실적 추정치 하향 조정에도 불구하고 주가 급락으로 저평가된 상황,주가 저평가,"하향 조정, 불구하고, 저평가",1,230000,151022,0.44%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,삼성sdi,삼성SDI(006400)의 영업이익이 지난해보다 79.4% 늘어날 것이라고 내다봤다.,실적 호재,"영업이익, 늘어날 것",1,230000,151022,0.44%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,삼성sdi,"ESS(대용량 에너지저장장치) 발화로 인한 국내 판매 중단, 대손충당금 반영",전기차 화재,"ESS, 발화, 국내 판매 중단",0,230000,151022,0.44%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,삼성sdi,"ESS (대용량 에너지 절약 시스템) 점화로 인한 국내 판매 정지,",전기차 화재,"ESS, 발화, 국내 판매 중단",0,230000,151022,0.44%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,현대차,먼저 향후 5년 내 신차의 절반가량을 전기차로 출시하고 이를 위한 전기차 전용 플랫폼을 선보일 계획이다.,실적 호재,"전기차, 출시, 전용 플랫폼, 계획",1,116000,334574,0%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,현대차,현대자동차와 기아자동차의 지난 2019년 전기차 수출이 전년 대비 2배 이상 급증한 것으로 조사됐다.,실적 호재,"급증, 전년 대비, 전기차, 수출",1,116000,334574,0%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,현대차,현대차의 플래그십 세단 모델인 그랜저가 3년 연속 베스트 셀링카에 등극했다.,실적 호재,"그랜저, 베스트, 셀링카, 등극",1,116000,334574,0%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.06,현대차,국산 친환경차 기술력이 글로벌 시장을 선도하면서 지난해 현대·기아차의 전기차 수출이 전년 대비 2배 이상 급증했다.,실적 호재,"전년대비, 급증, 선도, 친환경차",1,116000,334574,0%,288.43,-0.79%,"1,164.95",0.66%,62.99,-1.41%,"3,234.85",-0.71%
2020.01.08,현대차,현대자동차는 미국 라스베이거스에서 열리는 '국제 전자제품 박람회(CES 2020)'에서 인간 중심의 역동적 미래도시 구현을 위한 혁신적인 미래 모빌리티 비전을 공개했다.,기술 호재,"역동적, 미래도시 구현, 현식적, 미래 모빌리티, 공개",1,112000,1044825,-3.03%,289.42,-0.62%,"1,167.30",0.03%,59.97,-7.62%,"3,237.18",-0.28%
2020.01.10,SK이노베이션,SK이노베이션은 폭스바겐과 합작법인 설립을 논의하고 있다.,합작법인 기대,"합작법인 설립을 논의, 폭스바겐",1,138000,421153,0.36%,297.06,0.90%,"1,158.72",-0.30%,59.17,-0.64%,"3,274.70",0.67%
2020.01.10,SK이노베이션,"고품질 제조업에서 경쟁력을 갖춘 LG화학, 삼성SDI, SK이노베이션 등 한국 기업들이 경쟁력을 가질 수 있다",실적 호재,"고품질, 경쟁력, 한국 기업들",1,138000,421153,0.36%,297.06,0.90%,"1,158.72",-0.30%,59.17,-0.64%,"3,274.70",0.67%
2020.01.10,삼성sdi,"에코프로비엠(247540)에 대해 소형 배터리 수요 둔화로 실적 부진이 예상된다고 평가하면서 목표주가를 8만원에서 6만8,000원으로 낮췄다.",협력사 악재,"에코프로비엠, 수요 둔화, 실적 부진, 예상",0,249000,819751,7.10%,297.06,0.90%,"1,158.72",-0.30%,59.17,-0.64%,"3,274.70",0.67%
2020.01.10,삼성sdi,"우리는 80,000 원으로 목표 주가를 8 만원으로 하향 조정, 에코 프로젝트 (247540)에 대한 소규모 배터리 수요가 둔화 될수록 부진한 실적을 평가했다.",협력사 악재,"에코프로비엠, 수요 둔화, 실적 부진, 예상",0,249000,819751,7.10%,297.06,0.90%,"1,158.72",-0.30%,59.17,-0.64%,"3,274.70",0.67%
2020.01.13,현대차,"2019년 현대차는 제네시스를 포함해 전년 동기보다 4.7% 증가한 71만7대를, 기아차는 전년 동기 대비 4.4% 늘어난 61만5338대를 각각 판매했다.",실적 호재,"저년 동기, 증가, 판매",1,115000,692917,1.32%,300.13,1.03%,"1,157.97",-0.06%,58.12,-1.39%,"3,265.35",-0.29%
2020.01.14,현대차,현대모비스는 미래차 시대에 대비해 3년간 9조원을 투자할 것입니다.,투자 확대 기대,"투자, 현대모비스, 미래차",1,116000,739959,0.87%,301.53,0.47%,"1,153.95",-0.35%,58.09,-0.05%,"3,288.13",0.70%
2020.01.14,현대차,13일 현대차그룹에 따르면 현대차는 지난해 미국에서 전년보다 4.7% 증가한 71만7대를 판매했다.,실적 호재,"판매, 전년, 증가 ",1,116000,739959,0.87%,301.53,0.47%,"1,153.95",-0.35%,58.09,-0.05%,"3,288.13",0.70%
2020.01.15,LG 화학,미국 전기차 제조업체 테슬라의 주가가 13일(현지시간) 사상 처음으로 주당 500달러를 돌파했다.,테슬라 주가 상승,"테슬라, 돌파, 주가, 처음",1,328500,231766,-1.50%,299.74,-0.59%,"1,157.20",0.28%,58.12,0.05%,"3,283.15",-0.15%
2020.01.15,SK이노베이션,"현지 외신들에 따르면, 1차 판결은 LG화학 승소 가능성이 높다. 특히 ITC 산하 기관으로, 변호사들로 구성된 불공정수입조사국(OUII·Office of Unfair Import Investigations)이 LG화학 입장에 선 것으로 알려졌다.",소송 악재,"LG화학 승소, ITC",0,137000,390034,-1.79%,299.74,-0.59%,"1,157.20",0.28%,58.12,0.05%,"3,283.15",-0.15%
2020.01.15,SK이노베이션,"현지 외국인에 따르면, LG 화학을이기는 것입니다. 특히 ITC 기관, 불공정 한 수입 수사국 (OUI) 및 변호사로 구성된 불공정 수입 조사는 LG 화학 물질로 알려져 있습니다.",소송 악재,"LG화학 승소, ITC",0,137000,390034,-1.79%,299.74,-0.59%,"1,157.20",0.28%,58.12,0.05%,"3,283.15",-0.15%
2020.01.15,삼성sdi,올해 하반기 전기차 시장이 회복할 것으로 전망,산업 성장 기대,"전기차 시장, 회복, 전망",1,267500,305110,0.75%,299.74,-0.59%,"1,157.20",0.28%,58.12,0.05%,"3,283.15",-0.15%
2020.01.15,삼성sdi,테슬라가 사상 최고가 행진,협력사 호재,"테슬라, 최고가",1,267500,305110,0.75%,299.74,-0.59%,"1,157.20",0.28%,58.12,0.05%,"3,283.15",-0.15%
2020.01.15,삼성sdi,지난해 말 실적부담 이슈 부각됐지만 올 영업이익 작년보다 두 배 늘듯,실적 호재,"영업이익, 작년보다, 늘듯",1,267500,305110,0.75%,299.74,-0.59%,"1,157.20",0.28%,58.12,0.05%,"3,283.15",-0.15%
2020.01.15,삼성sdi,"전기차 배터리 분야의 성장성을 감안하면 아직 비싸지 않은 수준이라며 투자의견 '매수', 목표주가 35만원을 유지했다.",산업 성장 기대,"성장성, 감안, 목표주가, 유지",1,267500,305110,0.75%,299.74,-0.59%,"1,157.20",0.28%,58.12,0.05%,"3,283.15",-0.15%
2020.01.15,현대차,테슬라주가 급등하고 전기차 시장이 주목받으면서 국내 전기차·배터리 관련주도 최근 연일 상승세다.,산업 성장 기대,"테슬라, 급등, 전기차, 주목, 상승세",1,114200,564142,-0.86%,299.74,-0.59%,"1,157.20",0.28%,58.12,0.05%,"3,283.15",-0.15%
2020.01.16,LG 화학,세계 최대 자산운용사인 미국 블랙록이 '기후변화'와 '지속가능성'을 올해 투자 포트폴리오 최우선 순위로 삼겠다고 천명했다.  글로벌 전기차 배터리 시장을 이끄는 한국의 LG화학은 지난해 10월 국내 배터리 업계 최초로 광물 관련 글로벌 협의체인 'RMI(책임 있는 광물 조달 및 공급망 관리를 위한 연합)'에 가입해 친환경·친인권 방식으로 원자재를 확보하기 위해 노력하고 있다.,산업 성장 기대,"전기차, 배터리 시장, 원자재, 확보, 노력, 기후변화, 지속가능성",1,329000,194414,0.15%,302.78,1.01%,"1,157.91",0.06%,58.61,0.84%,"3,289.29",0.19%
2020.01.16,LG 화학,중국 전기차 배터리 업체들이 앞다퉈 에너지저장장치(ESS) 부문 투자를 확대하며 이 분야 세계 1위 시장점유율을 차지한 한국 기업들을 위협하고 있다.,경쟁사 호재,"ess, 에너지저장장치, 투자, 확대, 시장점유율, 차지, 중국, 위협",0,329000,194414,0.15%,302.78,1.01%,"1,157.91",0.06%,58.61,0.84%,"3,289.29",0.19%
2020.01.16,LG 화학,중국 전기 자동차 배터리 제조사들은 에너지 저장 (ESS) 투자 (ESS) 투자를 촉진하고 있으며 현장에서의 첫 번째 시장 점유율을 설명하는 한국 기업을 위협하고 있습니다.,경쟁사 호재,"ess, 에너지저장장치, 투자, 확대, 시장점유율, 차지, 중국, 위협",0,329000,194414,0.15%,302.78,1.01%,"1,157.91",0.06%,58.61,0.84%,"3,289.29",0.19%
2020.01.16,삼성sdi,삼성SDI와 LG화학은 R&D 강화로 기술 격차를 유지하겠다는 전략이다.,기술 호재,"기술 격차, 유지",1,268500,328175,0.37%,302.78,1.01%,"1,157.91",0.06%,58.61,0.84%,"3,289.29",0.19%
2020.01.17,SK이노베이션,SK이노베이션이 2022년부터 한 번 충전으로 500㎞를 달릴 수 있는 차세대 전기차 배터리를 양산한다.,실적 호재,"차세대 전기차 배터리, 양산",1,133500,712244,0.38%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.17,SK이노베이션,SK이노베이션이 미국 조지아주 배터리공장 2차 투자를 통해 2025년 글로벌 생산량 목표인 100GWh(기가와트아워) 달성에 다가선다.,설비 투자,"배터리공장, 투자, 달성",1,133500,712244,0.38%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.17,SK이노베이션,세계 1위 완성차업체인 폭스바겐이 궈쉬안으로부터 공급받는 물량을 늘리면 국내 기업들에겐 부정적 영향이 있을 수 있다는 분석이다.,경쟁사 호재,"국내 기업들, 부정적 영향, 폭스바겐, 물량",0,133500,712244,0.38%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.17,SK이노베이션,Guo-Sang에서 공급되는 Volkswagen은 국내 기업에 부정적인 영향을 미칠 수있는 세계 최초의 자동차 제조업체 인 Volkswagen이 완성 된 분석입니다.,경쟁사 호재,"국내 기업들, 부정적 영향, 폭스바겐, 물량",0,133500,712244,0.38%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.17,삼성sdi,미국 전기차 회사 테슬라 주가가 급등하면서 전기차 성장 기대감에 삼성SDI 주가도 덩달아 강세다.,협력사 호재,"테슬라, 주가, 급등",1,269500,350550,0.37%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.17,현대차,"현대·기아자동차가 영국 상업용 전기차 전문업체 ‘어라이벌(Arrival)’에 1290억원 규모 전략 투자를 단행하고, 도심에 특화된 소형 상용 전기차 개발을 위해 상호 협력하기로 했다.",투자 확대 기대,"어라이벌, 규모, 전략, 투자, 특화, 개발, 전기차, 개발, 상호협력",1,116600,574301,0.00%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.17,현대차,"전기차 등 친환경차와 SUV의 수출이 늘어 수출금액은 전년보다 5.3% 증가한 430억7000만달러로 2015년 이후 4년 만에 가장 많았고, SUV의 수출대수는 역대 최대인 147만6000대를 기록했다. ",실적 호재,"전년보다, 증가, 친환경차, 전기차, 최대기록",1,116600,574301,0.00%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.17,현대차,한온시스템이 본격화할 전기차시장 확대로 올해 최대 영업이익을 달성할 것이란 전망이 나오고 있다.,협력사 호재,"한온시스템, 확대, 영업이익, 달성",1,166600,574301,0.00%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.17,현대차,현대·기아차가 '클린 모빌리티'로 전환에 속도를 내고 전기차 시장에서 경쟁력을 키우기 위해 해외 업체에 1000억원대 전략투자를 한다.,투자 확대 기대,"클린 모빌리티, 전환, 속도, 경쟁력, 전략투자",1,166600,574301,0.00%,303.3,0.17%,"1,159.73",0.16%,58.77,0.27%,"3,316.81",0.84%
2020.01.20,LG 화학,LG화학은 지난해 '미국화학학회'가 발간하는 전문잡지 C&EN(Chemical & Engineering News)이 선정한 '2018 글로벌 톱50 화학 회사' 톱10에 선정됐다,실적 호재,"선정, 글로벌 톱 50 화학 회사, 미국화학학회",1,354000,556519,6.31%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,LG 화학,전기차는 협력사 기업과 세계로 진출하려 계획한다. LG화학은 2024년에는 현재 매출 약 30조원 대비 2배에 달하는 매출 59조원을 달성하고 영업이익률 두 자릿수를 돌파해 '글로벌 톱5 화학기업'으로 도약한다는 계획이다.,실적 호재,"협력사, 진출, 계획, 도약",1,354000,556519,6.31%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,LG 화학,테슬라 중국 상하이 공장에 납품하는 물량 증가로 LG화학의 중국 시장 점유율 확대를 예상했다,협력사 호재,"테슬라, 납품, 물량 증가, 점유율 확대, 예상, 시장",1,354000,556519,6.31%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,LG 화학,"유럽 전기차시장이 예상보다 빠르게 성장하면서 일찌감치 현지에 배터리 공장을 짓는 등 공격적인 투자를 단행한 삼성SDI와 LG화학, SK이노베이션 등 한국 배터리 3개사 성장 기대감이 커지고 있다.",산업 성장 기대,"성장, 기대감, 공장, 공격적, 투자, 단행",1,354000,556519,6.31%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,SK이노베이션,SK이노베이션은 베이징자동차 등과 손잡고 중국에 전기차 15만 대 규모(7.5GWh)의 배터리 공장을 최근 준공했다. 이 회사는 또 중국 전지업체 EVE에너지와 합작법인을 설립해 중국 장쑤성 옌청에 20~25GWh 규모의 전기차 배터리 공장을 추가 건설할 계획이다.,설비 투자,"배터리 공장, 합작법인, 추가 건설, 계획",1,135500,336029,1.50%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,SK이노베이션,현대·기아차는 2021년부터 양산 예정인 순수 전기차 전용 배터리 공급사로 SK이노베이션을 선정했다고 지난달 발표했다.,계약 수주,"양산, 예정, 배터리 공급사, 선정",1,135500,336029,1.50%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,삼성sdi,LG화학·삼성SDI·SK이노베이션은 전기차(EV) 등 핵심 부품인 2차 전지(리튬이온배터리) 수주를 크게 끌어올리면서 수출 효자로 떠오를 전망이다.,실적 호재,"2차 전지, 수주,  수출 효자",1,275500,433345,2.23%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,삼성sdi,"유럽 전기차시장이 예상보다 빠르게 성장하면서 일찌감치 현지에 배터리 공장을 짓는 등 공격적인 투자를 단행한 삼성SDI와 LG화학, SK이노베이션 등 한국 배터리 3개사 성장 기대감이 커지고 있다.",설비 투자,"전기차 시장, 성장, 공격적, 투자, 성장, 기대감, 배터리 3개사",1,275500,433345,2.23%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,삼성sdi,삼성SDI 작년 4분기 영업이익은 360억원으로 전분기 대비 78% 감소,실적 부진,"영업이익, 감소",0,275500,433345,2.23%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.20,삼성sdi,삼성 SDI 4Q09 영업 이익은 전분기 대비 78 % 증가한 360 억원,실적 부진,"영업이익, 감소",0,275500,433345,2.23%,305.58,0.75%,"1,160.44",0.06%,58.67,-0.93%,"3,329.62",0.39%
2020.01.21,삼성sdi,글로벌 프리미엄 전기차 1위 업체인 테슬라가 중국에서 모델3 양산에 성공하고 유럽 진출까지 도모한 영향에 이어 한국 배터리업체가 글로벌 완성차 업체 및 중간소재 기업과 협업한 모멘텀까지 관련 주가 상승에 힘을 보태고 있다.,협력사 호재,"테슬라, 양산, 성공, 유럽 진출, 한국 배터리업체, 협업",1,275500,217679,0.00%,302.11,-1.14%,"1,158.61",-0.16%,58.26,-0.70%,"3,329.62",0.39%
2020.01.22,LG 화학,"유럽 전기차시장이 예상보다 빠르게 성장하면서 일찌감치 현지에 배터리 공장을 짓는 등 공격적인 투자를 단행한 삼성SDI와 LG화학, SK이노베이션 등 한국 배터리 3개사 성장 기대감이 커지고 있다.  특히 LG화학은 유럽시장의 성공적인 공략으로 올해 일본 파나소닉을 제치고 전 세계 전기차 배터리 점유율 부문 2위에 오를 것으로 전망되고 있다.",실적 호재,"유럽 전기차시장, 배터리 공장, 공격적인 투자, 삼성SDI, SK이노베이션, 배터리 점유율, 2위",1,351500,311524,2.03%,306.08,1.31%,"1,169.01",0.90%,56.09,-3.72%,"3,320.79",-0.27%
2020.01.22,LG 화학,포스코케미칼이 LG화학과 대규모 양극재 공급계약을 체결하고 전기차 배터리 소재 시장 공략을 가속화한다.,협력사 협업,"양극재, 공급계약, 체결, 공략, 가속화",1,351500,311524,2.03%,306.08,1.31%,"1,169.01",0.90%,56.09,-3.72%,"3,320.79",-0.27%
2020.01.23,LG 화학,경북 포항 영일만산업단지와 블루밸리산업단지는 `배터리 리사이클 규제자유특구`로 지정됐다.,산업 성장 기대,"배터리, 리사이클",1,348500,260932,-0.85%,302.33,-1.23%,"1,164.76",-0.36%,55.62,-0.84%,"3,321.75",0.03%
2020.01.23,LG 화학,전기차 배터리 소재 `양극재` LG화학에 3년간 1.8조 공급 창사 이래 최고실적 호재감,실적 호재,"공급, 최고, 실적, 호재",1,348500,260932,-0.85%,302.33,-1.23%,"1,164.76",-0.36%,55.62,-0.84%,"3,321.75",0.03%
2020.01.23,삼성sdi,미국 나스닥 시장에서 테슬라는 전 거래일보다 7.19% 오른 547.2달러에 거래를 마치며 최고가 기록을 경신했다.,협력사 호재,"테슬라, 최고가, 기록, 경신",1,283500,460938,-0.87%,302.33,-1.23%,"1,164.76",-0.36%,55.62,-0.84%,"3,321.75",0.03%
2020.01.23,삼성sdi,CATL은 독일에 이어 북미지역 사업 확대를 검토,경쟁사 호재,"CATL, 사업 확대",0,283500,460938,-0.87%,302.33,-1.23%,"1,164.76",-0.36%,55.62,-0.84%,"3,321.75",0.03%
2020.01.23,삼성sdi,"세계 최대 자동차 업체인 독일의 폭스바겐이 중국내 4위,글로벌 8위의 전기차 배터리 업체 지분 인수를 추진 중이다.",경쟁사 호재,"폭스바겐, 중국, 업체, 지분 인수",0,283500,460938,-0.87%,302.33,-1.23%,"1,164.76",-0.36%,55.62,-0.84%,"3,321.75",0.03%
2020.01.23,삼성sdi,"Catl, 독일이 뒤 따르고,",경쟁사 호재,"CATL, 사업 확대",0,283500,460938,-0.87%,302.33,-1.23%,"1,164.76",-0.36%,55.62,-0.84%,"3,321.75",0.03%
2020.01.23,삼성sdi,세계 최대의 자동차 회사 인 독일 폭스 바겐은 세계 8 번째 전기 자동차 배터리 회사 주식 인수 중국에서 4 위를 차지합니다.,경쟁사 호재,"폭스바겐, 중국, 업체, 지분 인수",0,283500,460938,-0.87%,302.33,-1.23%,"1,164.76",-0.36%,55.62,-0.84%,"3,321.75",0.03%
2020.01.23,현대차,"매출은 전년 동기 대비 10.5% 증가했고, 영업이익은 무려 148.2%나 뛰었다.",실적 호재,"전년, 대비, 증가, 영업이익, 뛰었다. ",1,130500,2492785,2.76%,302.33,-1.23%,"1,164.76",-0.36%,55.62,-0.84%,"3,321.75",0.03%
2020.01.28,LG 화학,"그린쇼크, 두려움 아닌 기회다",산업 성장 기대,"그린쇼크, 기회",1,336500,348298,-3.44%,292.77,-3.16%,"1,176.70",0.64%,53.74,1.57%,"3,243.63",-1.57%
2020.01.28,LG 화학,LG화학도 석유화학 실적양호,실적 호재,"실적, 양호",1,336500,348298,-3.44%,292.77,-3.16%,"1,176.70",0.64%,53.74,1.57%,"3,243.63",-1.57%
2020.01.28,삼성sdi,시가총액은 20조원에 육박해 시총 순위 10위권을 바라보고 있다.,시가총액 상승,"시가총액, 순위, 10위권",1,285000,463275,0.53%,292.77,-3.16%,"1,176.70",0.64%,53.74,1.57%,"3,243.63",-1.57%
2020.01.28,삼성sdi,글로벌 전기차 배터리 시장 점유율 1위 기업인 CATL와 테슬라 등에 비해 47% 디스카운트(평가절하) 받고 있다는 분석이 나왔다.,주가 저평가,평가절하,1,285000,463275,0.53%,292.77,-3.16%,"1,176.70",0.64%,53.74,1.57%,"3,243.63",-1.57%
2020.01.28,삼성sdi,전기차 배터리 수요가 늘 것이라는 기대가 퍼지면서 삼성SDI 주가는 최근 한 달 사이 24% 상승했다.,산업 성장 기대,"배터리 수요, 늘 것, 기대",1,285000,463275,0.53%,292.77,-3.16%,"1,176.70",0.64%,53.74,1.57%,"3,243.63",-1.57%
2020.01.28,현대차,지난해 세계 자동차 시장 부진 속에서도 현대자동차가 스포츠유틸리티차량(SUV) 모델 흥행 등에 힘입어 사상 첫 매출 100조원 돌파 기록을 세웠다.,실적 호재,"돌파, 모델, 흥행, 매출",1,131000,1841752,0.38%,292.77,-3.16%,"1,176.70",0.64%,53.74,1.57%,"3,243.63",-1.57%
2020.01.28,현대차,지난해 국내 자동차 업체들의 친환경차 내수시장 판매량이 10만대를 돌파한 것으로 나타났다.,실적 호재,"판매량, 돌파, 친환경차",1,131000,1841752,0.38%,292.77,-3.16%,"1,176.70",0.64%,53.74,1.57%,"3,243.63",-1.57%
2020.01.28,현대차,유럽 지역은 배출가스 규제가 대폭 강화돼 디젤보다 상대적으로 친환경적인 하이브리드 SUV 개발이 필요해졌던 것으로 보인다.,산업 성장 기대,"유럽, 배출가스, 규제, 강화, 개발, 필요",1,131000,1841752,0.38%,292.77,-3.16%,"1,176.70",0.64%,53.74,1.57%,"3,243.63",-1.57%
