key,values
국제가전박람회,국제가전박람회(IFA)
니켈코발트망간알루미늄,NCMA(니켈·코발트·망간·알루미늄)
배터리데이,베터리 데이(Battery Day)
배터리데이,베터리데이
배터리데이,배터리 데이
배터리데이,베터리 데이
독일,獨
언택트,언택트(비대면)
벨류체인,"가치사슬, 벨류체인(가치사슬)"
렌탈,렌텔
렌탈,렌털
월스트리트 저널,월스트리트저널
월스트리트 저널,월스트리트 저널(WSJ)
연구개발,연구·개발
에너지,애너지
미국,美
바이든,"조바이든, 조 바이든"
에코프로비엠,에코프로이엠
한국,韓
재생에너지100,RE100(Renewable Energy 100)
엘지,LG
엘지,lg
에너지저장장치,에너지 저장 (ESS) 투자
테슬라,Tesla
배터리데이,배터리의 날
기가와트아워,GWH
 ,0
 ,1
 ,2
 ,3
 ,4
 ,5
 ,6
 ,7
 ,8
 ,9
이노베이션,혁신
